region,#_0-35000,%_0-35000,#_35000-50000,%_35000-50000,#_50000-75000,%_50000-75000,#_75000-100000,%_75000-100000,#_100000-150000,%_100000-150000,#_150000_and_up,%_150000_and_up
Central San Diego,25669.00 ,0.3360,9693.00,0.1270,13410.00,0.1760,9012.00,0.1180,9593.00,0.1260,8982.00,0.1180
Mid-City,24174.00 ,0.4240,8591.00,0.1510,9784.00,0.1720,5802.00,0.1020,5357.00,0.0940,3303.00,0.0580
Southeastern San Diego,14644.00 ,0.3410,6615.00,0.1540,8302.00,0.1930,5637.00,0.1310,5602.00,0.1300,2207.00,0.0510
Alpine,1242.00 ,0.2190,662.00,0.1170,784.00,0.1380,674.00,0.1190,1316.00,0.2320,989.00,0.1750
El Cajon,15761.00 ,0.3770,5638.00,0.1350,7397.00,0.1770,4802.00,0.1150,4690.00,0.1120,3535.00,0.0850
Harbison Crest,1068.00 ,0.1960,811.00,0.1490,1006.00,0.1850,803.00,0.1480,991.00,0.1820,765.00,0.1410
Jamul,615.00 ,0.1280,406.00,0.0850,582.00,0.1210,654.00,0.1360,1088.00,0.2270,1447.00,0.3020
La Mesa,7075.00 ,0.2860,3778.00,0.1530,4682.00,0.1890,3493.00,0.1410,3424.00,0.1390,2263.00,0.0920
Laguna-Pine Valley,452.00 ,0.2340,253.00,0.1310,243.00,0.1260,220.00,0.1140,410.00,0.2130,350.00,0.1820
Lakeside,4769.00 ,0.2450,2345.00,0.1200,3730.00,0.1910,3073.00,0.1580,3349.00,0.1720,2225.00,0.1140
Lemon Grove,2884.00 ,0.2960,1432.00,0.1470,2162.00,0.2220,1456.00,0.1490,1239.00,0.1270,573.00,0.0590
Mountain Empire,945.00 ,0.4150,276.00,0.1210,464.00,0.2040,174.00,0.0760,206.00,0.0900,212.00,0.0930
Santee,3695.00 ,0.2020,1987.00,0.1090,3409.00,0.1870,3010.00,0.1650,3919.00,0.2140,2255.00,0.1230
Spring Valley,6745.00 ,0.2430,3840.00,0.1380,5372.00,0.1930,4006.00,0.1440,4755.00,0.1710,3086.00,0.1110
Coastal,7617.00 ,0.2170,3288.00,0.0940,5805.00,0.1660,4682.00,0.1340,5356.00,0.1530,8297.00,0.2370
Del Mar-Mira Mesa,6784.00 ,0.1220,3794.00,0.0680,6994.00,0.1260,7317.00,0.1320,12785.00,0.2310,17751.00,0.3200
Elliot-Navajo,7034.00 ,0.2000,3619.00,0.1030,6236.00,0.1780,5214.00,0.1480,6283.00,0.1790,6745.00,0.1920
Kearny Mesa,16062.00 ,0.2600,7635.00,0.1230,11434.00,0.1850,8018.00,0.1300,11097.00,0.1790,7631.00,0.1230
Miramar,170.00 ,0.3200,64.00,0.1200,165.00,0.3100,71.00,0.1330,46.00,0.0860,16.00,0.0300
Peninsula,5908.00 ,0.2360,2917.00,0.1160,4635.00,0.1850,3402.00,0.1360,4051.00,0.1620,4145.00,0.1650
University,6552.00 ,0.2680,2647.00,0.1080,3638.00,0.1490,3164.00,0.1300,4403.00,0.1800,4016.00,0.1640
Carlsbad,9918.00 ,0.2110,4221.00,0.0900,6815.00,0.1450,6224.00,0.1320,9205.00,0.1960,10642.00,0.2260
Oceanside,16384.00 ,0.2910,7712.00,0.1370,10622.00,0.1880,7770.00,0.1380,7951.00,0.1410,5912.00,0.1050
Pendleton,2311.00 ,0.3470,2017.00,0.3030,1525.00,0.2290,342.00,0.0510,374.00,0.0560,92.00,0.0140
San Dieguito,7491.00 ,0.2020,2665.00,0.0720,4720.00,0.1270,4065.00,0.1100,6514.00,0.1760,11580.00,0.3130
Vista,10976.00 ,0.3390,4319.00,0.1330,6192.00,0.1910,4129.00,0.1280,4112.00,0.1270,2629.00,0.0810
Anza-Borrego Springs,903.00 ,0.5550,257.00,0.1580,284.00,0.1750,110.00,0.0680,56.00,0.0340,17.00,0.0100
Escondido,17367.00 ,0.3350,6949.00,0.1340,9463.00,0.1820,5803.00,0.1120,6536.00,0.1260,5790.00,0.1120
Fallbrook,4985.00 ,0.2890,2240.00,0.1300,3174.00,0.1840,2268.00,0.1310,2383.00,0.1380,2201.00,0.1280
North San Diego,5521.00 ,0.1370,3369.00,0.0830,6048.00,0.1500,5279.00,0.1310,8503.00,0.2100,11704.00,0.2900
Palomar-Julian,813.00 ,0.3570,414.00,0.1820,370.00,0.1620,322.00,0.1410,249.00,0.1090,112.00,0.0490
Pauma,440.00 ,0.2040,378.00,0.1760,276.00,0.1280,382.00,0.1770,323.00,0.1500,354.00,0.1640
Poway,4463.00 ,0.1480,2534.00,0.0840,3358.00,0.1120,3906.00,0.1300,6552.00,0.2180,9279.00,0.3080
Ramona,2231.00 ,0.1950,1279.00,0.1120,2131.00,0.1860,1585.00,0.1380,2505.00,0.2190,1725.00,0.1510
San Marcos,9895.00 ,0.3110,4263.00,0.1340,5360.00,0.1690,4231.00,0.1330,4658.00,0.1460,3389.00,0.1070
Valley Center,2129.00 ,0.2720,576.00,0.0740,1090.00,0.1390,912.00,0.1160,1638.00,0.2090,1484.00,0.1900
Chula Vista,15163.00 ,0.4060,6332.00,0.1700,6497.00,0.1740,4333.00,0.1160,3504.00,0.0940,1497.00,0.0400
Coronado,1607.00 ,0.1890,836.00,0.0980,1216.00,0.1430,996.00,0.1170,1609.00,0.1890,2236.00,0.2630
National City,6730.00 ,0.4420,2397.00,0.1580,2908.00,0.1910,1302.00,0.0860,1292.00,0.0850,581.00,0.0380
South Bay,12883.00 ,0.3360,6094.00,0.1590,7372.00,0.1920,5328.00,0.1390,4634.00,0.1210,2002.00,0.0520
Sweetwater,6719.00 ,0.1570,3340.00,0.0780,7037.00,0.1650,7460.00,0.1750,10982.00,0.2570,7198.00,0.1680
